Material,MaterialType,MaterialGroup,MaterialDescription,BaseUnit,OldMaterialNumber,Division,Plant,StorageLocation,PurchasingGroup,ProcurementType,MRPType,MRPController,LotSize,PlannedDeliveryTimeDays,GRProcessingTimeDays,SafetyStock,ReorderPoint,ValuationClass,PriceControl,StandardPrice,MovingAveragePrice,PriceUnit,Currency,GrossWeight,NetWeight,WeightUnit,Volume,VolumeUnit,ProfitCenter,TaxClassification,SalesStatus,CreatedOn,BatchManagement,SerialNumberProfile,CountryOfOrigin
SYN-FG-000013,FERT,FG014,Standard Sensor Kit 013,EA,LEG-FG-00013,10,1000,001,001,E,PD,100,EX,7,1,0,0,7920,S,347.64,0,1,USD,22.3,18.51,KG,0.03,M3,PC-1000-FG,1,01,2025-02-11,,0001,MX
SYN-FG-000014,FERT,FG015,Eco Filter Unit 014,CS,LEG-FG-00014,10,1100,002,001,E,PD,101,EX,8,2,0,0,7920,S,134.58,0,1,USD,24,20.16,KG,0.032,M3,PC-1100-FG,1,01,2026-03-18,,,JP
SYN-FG-000015,FERT,FG016,Heavy-Duty Drive Module 015,EA,LEG-FG-00015,10,1000,003,001,E,PD,102,EX,9,3,0,0,7920,S,327.54,0,1,USD,25.7,21.84,KG,0.034,M3,PC-1000-FG,1,01,2022-04-25,,,US
SYN-FG-000016,FERT,FG017,Compact Pump Assembly 016,CS,LEG-FG-00016,10,1100,001,001,E,PD,103,EX,10,1,0,0,7920,S,114.48,0,1,USD,27.4,23.56,KG,0.037,M3,PC-1100-FG,1,01,2023-05-05,,,CA
SYN-FG-000017,FERT,FG010,High-Grade Control Valve 017,EA,LEG-FG-00017,10,1000,002,001,E,PD,104,EX,3,2,0,0,7920,S,307.44,0,1,USD,29.1,25.32,KG,0.039,M3,PC-1000-FG,1,01,2024-06-12,,0001,DE
SYN-FG-000018,FERT,FG011,Modular Sensor Kit 018,CS,LEG-FG-00018,10,1100,003,001,E,PD,105,EX,4,3,0,0,7920,S,94.38,0,1,USD,30.8,27.1,KG,0.041,M3,PC-1100-FG,1,01,2025-07-19,,,MX
SYN-FG-000019,FERT,FG012,Universal Filter Unit 019,EA,LEG-FG-00019,10,1000,001,001,E,PD,100,EX,5,1,0,0,7920,S,287.34,0,1,USD,32.5,28.92,KG,0.043,M3,PC-1000-FG,1,01,2026-08-26,,,JP
SYN-FG-000020,FERT,FG013,Industrial Drive Module 020,CS,LEG-FG-00020,10,1100,002,001,E,PD,101,EX,6,2,0,0,7920,S,74.28,0,1,USD,34.2,30.78,KG,0.046,M3,PC-1100-FG,1,01,2022-09-06,,,US
SYN-FG-000021,FERT,FG014,Precision Pump Assembly 021,EA,LEG-FG-00021,10,1000,003,001,E,PD,102,EX,7,3,0,0,7920,S,267.24,0,1,USD,35.9,32.67,KG,0.048,M3,PC-1000-FG,1,01,2023-10-13,,0001,CA
SYN-FG-000022,FERT,FG015,Premium Control Valve 022,CS,LEG-FG-00022,10,1100,001,001,E,PD,103,EX,8,1,0,0,7920,S,54.18,0,1,USD,37.6,34.59,KG,0.05,M3,PC-1100-FG,1,01,2024-11-20,,,DE
SYN-FG-000023,FERT,FG016,Standard Sensor Kit 023,EA,LEG-FG-00023,10,1000,002,001,E,PD,104,EX,9,2,0,0,7920,S,247.14,0,1,USD,39.3,36.55,KG,0.052,M3,PC-1000-FG,1,01,2025-12-27,,,MX
SYN-FG-000024,FERT,FG017,Eco Filter Unit 024,CS,LEG-FG-00024,10,1100,003,001,E,PD,105,EX,10,3,0,0,7920,S,34.08,0,1,USD,41,33.62,KG,0.055,M3,PC-1100-FG,1,01,2026-01-07,,,JP
SYN-FG-000025,FERT,FG010,Heavy-Duty Drive Module 025,EA,LEG-FG-00025,10,1000,001,001,E,PD,100,EX,3,1,0,0,7920,S,227.04,0,1,USD,42.7,35.44,KG,0.057,M3,PC-1000-FG,1,01,2022-02-14,,0001,US
SYN-FG-000026,FERT,FG011,Compact Pump Assembly 026,CS,LEG-FG-00026,10,1100,002,001,E,PD,101,EX,4,2,0,0,7920,S,420,0,1,USD,44.4,37.3,KG,0.059,M3,PC-1100-FG,1,01,2023-03-21,,,CA
SYN-FG-000027,FERT,FG012,High-Grade Control Valve 027,EA,LEG-FG-00027,10,1000,003,001,E,PD,102,EX,5,3,0,0,7920,S,206.94,0,1,USD,46.1,39.19,KG,0.061,M3,PC-1000-FG,1,01,2024-04-01,,,DE
SYN-FG-000028,FERT,FG013,Modular Sensor Kit 028,CS,LEG-FG-00028,10,1100,001,001,E,PD,103,EX,6,1,0,0,7920,S,399.9,0,1,USD,47.8,41.11,KG,0.064,M3,PC-1100-FG,1,01,2025-05-08,,,MX
SYN-FG-000029,FERT,FG014,Universal Filter Unit 029,EA,LEG-FG-00029,10,1000,002,001,E,PD,104,EX,7,2,0,0,7920,S,186.84,0,1,USD,49.5,43.06,KG,0.066,M3,PC-1000-FG,1,01,2026-06-15,,0001,JP
SYN-FG-000030,FERT,FG015,Industrial Drive Module 030,CS,LEG-FG-00030,10,1100,003,001,E,PD,105,EX,8,3,0,0,7920,S,379.8,0,1,USD,51.2,45.06,KG,0.068,M3,PC-1100-FG,1,01,2022-07-22,,,US
SYN-FG-000031,FERT,FG016,Precision Pump Assembly 031,EA,LEG-FG-00031,10,1000,001,001,E,PD,100,EX,9,1,0,0,7920,S,166.74,0,1,USD,52.9,47.08,KG,0.071,M3,PC-1000-FG,1,01,2023-08-02,,,CA
SYN-FG-000032,FERT,FG017,Premium Control Valve 032,CS,LEG-FG-00032,10,1100,002,001,E,PD,101,EX,10,2,0,0,7920,S,359.7,0,1,USD,54.6,49.14,KG,0.073,M3,PC-1100-FG,1,01,2024-09-09,,,DE
SYN-FG-000033,FERT,FG010,Standard Sensor Kit 033,EA,LEG-FG-00033,10,1000,003,001,E,PD,102,EX,3,3,0,0,7920,S,146.64,0,1,USD,56.3,51.23,KG,0.075,M3,PC-1000-FG,1,01,2025-10-16,,0001,MX
SYN-FG-000034,FERT,FG011,Eco Filter Unit 034,CS,LEG-FG-00034,10,1100,001,001,E,PD,103,EX,4,1,0,0,7920,S,339.6,0,1,USD,58,53.36,KG,0.077,M3,PC-1100-FG,1,01,2026-11-23,,,JP
SYN-FG-000035,FERT,FG012,Heavy-Duty Drive Module 035,EA,LEG-FG-00035,10,1000,002,001,E,PD,104,EX,5,2,0,0,7920,S,126.54,0,1,USD,59.7,55.52,KG,0.08,M3,PC-1000-FG,1,01,2022-12-03,,,US
SYN-FG-000036,FERT,FG013,Compact Pump Assembly 036,CS,LEG-FG-00036,10,1100,003,001,E,PD,105,EX,6,3,0,0,7920,S,319.5,0,1,USD,61.4,50.35,KG,0.082,M3,PC-1100-FG,1,01,2023-01-10,,,CA
SYN-FG-000037,FERT,FG014,High-Grade Control Valve 037,EA,LEG-FG-00037,10,1000,001,001,E,PD,100,EX,7,1,0,0,7920,S,106.44,0,1,USD,63.1,52.37,KG,0.084,M3,PC-1000-FG,1,01,2024-02-17,,0001,DE
SYN-FG-000038,FERT,FG015,Modular Sensor Kit 038,CS,LEG-FG-00038,10,1100,002,001,E,PD,101,EX,8,2,0,0,7920,S,299.4,0,1,USD,64.8,54.43,KG,0.086,M3,PC-1100-FG,1,01,2025-03-24,,,MX
SYN-FG-000039,FERT,FG016,Universal Filter Unit 039,EA,LEG-FG-00039,10,1000,003,001,E,PD,102,EX,9,3,0,0,7920,S,86.34,0,1,USD,66.5,56.52,KG,0.089,M3,PC-1000-FG,1,01,2026-04-04,,,JP
SYN-FG-000040,FERT,FG017,Industrial Drive Module 040,CS,LEG-FG-00040,10,1100,001,001,E,PD,103,EX,10,1,0,0,7920,S,279.3,0,1,USD,68.2,58.65,KG,0.091,M3,PC-1100-FG,1,01,2022-05-11,,,US
SYN-TG-000041,HAWA,TG010,Precision Safety Glove Pack 001,EA,LEG-TG-00001,10,1000,001,001,F,PD,100,EX,7,1,53,0,3100,V,0,310.8,1,USD,69.9,60.81,KG,0.093,M3,PC-1000-TG,1,01,2023-06-18,,,CA
SYN-TG-000042,HAWA,TG011,Premium Digital Caliper 002,CS,LEG-TG-00002,10,1200,002,001,F,PD,101,EX,8,2,66,0,3100,V,0,618,1,USD,71.6,63.01,KG,0.095,M3,PC-1200-TG,1,01,2024-07-25,,,DE
SYN-TG-000043,HAWA,TG012,Standard Tool Case 003,EA,LEG-TG-00003,10,1000,003,001,F,PD,102,EX,9,3,79,0,3100,V,0,278.8,1,USD,73.3,65.24,KG,0.098,M3,PC-1000-TG,1,01,2025-08-05,,,MX
SYN-TG-000044,HAWA,TG013,Eco Work Light 004,CS,LEG-TG-00004,10,1200,001,001,F,PD,103,EX,10,1,92,0,3100,V,0,586,1,USD,75,67.5,KG,0.1,M3,PC-1200-TG,1,01,2026-09-12,,,JP
SYN-TG-000045,HAWA,TG014,Heavy-Duty Cable Reel 005,EA,LEG-TG-00005,10,1000,002,001,F,PD,104,EX,11,2,105,0,3100,V,0,246.8,1,USD,76.7,69.8,KG,0.102,M3,PC-1000-TG,1,01,2022-10-19,,,US
SYN-TG-000046,HAWA,TG015,Compact Safety Glove Pack 006,CS,LEG-TG-00006,10,1200,003,001,F,PD,105,EX,12,3,118,0,3100,V,0,554,1,USD,78.4,72.13,KG,0.105,M3,PC-1200-TG,1,01,2023-11-26,,,CA
SYN-TG-000047,HAWA,TG016,High-Grade Digital Caliper 007,EA,LEG-TG-00007,10,1000,001,001,F,PD,100,EX,13,1,11,0,3100,V,0,214.8,1,USD,80.1,74.49,KG,0.107,M3,PC-1000-TG,1,01,2024-12-06,,,DE
SYN-TG-000048,HAWA,TG017,Modular Tool Case 008,CS,LEG-TG-00008,10,1200,002,001,F,PD,101,EX,14,2,24,0,3100,V,0,522,1,USD,81.8,67.08,KG,0.109,M3,PC-1200-TG,1,01,2025-01-13,,,MX
SYN-TG-000049,HAWA,TG010,Universal Work Light 009,EA,LEG-TG-00009,10,1000,003,001,F,PD,102,EX,15,3,37,0,3100,V,0,182.8,1,USD,83.5,69.3,KG,0.111,M3,PC-1000-TG,1,01,2026-02-20,,,JP
SYN-TG-000050,HAWA,TG011,Industrial Cable Reel 010,CS,LEG-TG-00010,10,1200,001,001,F,PD,103,EX,16,1,50,0,3100,V,0,490,1,USD,85.2,71.57,KG,0.114,M3,PC-1200-TG,1,01,2022-03-27,,,US
SYN-TG-000051,HAWA,TG012,Precision Safety Glove Pack 011,EA,LEG-TG-00011,10,1000,002,001,F,PD,104,EX,17,2,63,0,3100,V,0,150.8,1,USD,86.9,73.87,KG,0.116,M3,PC-1000-TG,1,01,2023-04-07,,,CA
SYN-TG-000052,HAWA,TG013,Premium Digital Caliper 012,CS,LEG-TG-00012,10,1200,003,001,F,PD,105,EX,18,3,76,0,3100,V,0,458,1,USD,88.6,76.2,KG,0.118,M3,PC-1200-TG,1,01,2024-05-14,,,DE
SYN-TG-000053,HAWA,TG014,Standard Tool Case 013,EA,LEG-TG-00013,10,1000,001,001,F,PD,100,EX,19,1,89,0,3100,V,0,118.8,1,USD,90.3,78.56,KG,0.12,M3,PC-1000-TG,1,01,2025-06-21,,,MX
SYN-TG-000054,HAWA,TG015,Eco Work Light 014,CS,LEG-TG-00014,10,1200,002,001,F,PD,101,EX,20,2,102,0,3100,V,0,426,1,USD,92,80.96,KG,0.123,M3,PC-1200-TG,1,01,2026-07-01,,,JP
SYN-TG-000055,HAWA,TG016,Heavy-Duty Cable Reel 015,EA,LEG-TG-00015,10,1000,003,001,F,PD,102,EX,21,3,115,0,3100,V,0,86.8,1,USD,93.7,83.39,KG,0.125,M3,PC-1000-TG,1,01,2022-08-08,,,US
SYN-TG-000056,HAWA,TG017,Compact Safety Glove Pack 016,CS,LEG-TG-00016,10,1200,001,001,F,PD,103,EX,22,1,8,0,3100,V,0,394,1,USD,95.4,85.86,KG,0.127,M3,PC-1200-TG,1,01,2023-09-15,,,CA
SYN-TG-000057,HAWA,TG010,High-Grade Digital Caliper 017,EA,LEG-TG-00017,10,1000,002,001,F,PD,104,EX,23,2,21,0,3100,V,0,54.8,1,USD,97.1,88.36,KG,0.129,M3,PC-1000-TG,1,01,2024-10-22,,,DE
SYN-TG-000058,HAWA,TG011,Modular Tool Case 018,CS,LEG-TG-00018,10,1200,003,001,F,PD,105,EX,24,3,34,0,3100,V,0,362,1,USD,98.8,90.9,KG,0.132,M3,PC-1200-TG,1,01,2025-11-02,,,MX
SYN-TG-000059,HAWA,TG012,Universal Work Light 019,EA,LEG-TG-00019,10,1000,001,001,F,PD,100,EX,25,1,47,0,3100,V,0,22.8,1,USD,100.5,93.46,KG,0.134,M3,PC-1000-TG,1,01,2026-12-09,,,JP
SYN-TG-000060,HAWA,TG013,Industrial Cable Reel 020,CS,LEG-TG-00020,10,1200,002,001,F,PD,101,EX,26,2,60,0,3100,V,0,330,1,USD,102.2,83.8,KG,0.136,M3,PC-1200-TG,1,01,2022-01-16,,,US
SYN-TG-000061,HAWA,TG014,Precision Safety Glove Pack 021,EA,LEG-TG-00021,10,1000,003,001,F,PD,102,EX,27,3,73,0,3100,V,0,637.2,1,USD,103.9,86.24,KG,0.139,M3,PC-1000-TG,1,01,2023-02-23,,,CA
SYN-TG-000062,HAWA,TG015,Premium Digital Caliper 022,CS,LEG-TG-00022,10,1200,001,001,F,PD,103,EX,28,1,86,0,3100,V,0,298,1,USD,105.6,88.7,KG,0.141,M3,PC-1200-TG,1,01,2024-03-03,,,DE
SYN-TG-000063,HAWA,TG016,Standard Tool Case 023,EA,LEG-TG-00023,10,1000,002,001,F,PD,104,EX,7,2,99,0,3100,V,0,605.2,1,USD,107.3,91.2,KG,0.143,M3,PC-1000-TG,1,01,2025-04-10,,,MX
SYN-TG-000064,HAWA,TG017,Eco Work Light 024,CS,LEG-TG-00024,10,1200,003,001,F,PD,105,EX,8,3,112,0,3100,V,0,266,1,USD,109,93.74,KG,0.145,M3,PC-1200-TG,1,01,2026-05-17,,,JP
SYN-TG-000065,HAWA,TG010,Heavy-Duty Cable Reel 025,EA,LEG-TG-00025,10,1000,001,001,F,PD,100,EX,9,1,5,0,3100,V,0,573.2,1,USD,110.7,96.31,KG,0.148,M3,PC-1000-TG,1,01,2022-06-24,,,US
SYN-TG-000066,HAWA,TG011,Compact Safety Glove Pack 026,CS,LEG-TG-00026,10,1200,002,001,F,PD,101,EX,10,2,18,0,3100,V,0,234,1,USD,112.4,98.91,KG,0.15,M3,PC-1200-TG,1,01,2023-07-04,,,CA
SYN-TG-000067,HAWA,TG012,High-Grade Digital Caliper 027,EA,LEG-TG-00027,10,1000,003,001,F,PD,102,EX,11,3,31,0,3100,V,0,541.2,1,USD,114.1,101.55,KG,0.152,M3,PC-1000-TG,1,01,2024-08-11,,,DE
SYN-TG-000068,HAWA,TG013,Modular Tool Case 028,CS,LEG-TG-00028,10,1200,001,001,F,PD,103,EX,12,1,44,0,3100,V,0,202,1,USD,115.8,104.22,KG,0.154,M3,PC-1200-TG,1,01,2025-09-18,,,MX
SYN-TG-000069,HAWA,TG014,Universal Work Light 029,EA,LEG-TG-00029,10,1000,002,001,F,PD,104,EX,13,2,57,0,3100,V,0,509.2,1,USD,117.5,106.92,KG,0.157,M3,PC-1000-TG,1,01,2026-10-25,,,JP
SYN-TG-000070,HAWA,TG015,Industrial Cable Reel 030,CS,LEG-TG-00030,10,1200,003,001,F,PD,105,EX,14,3,70,0,3100,V,0,170,1,USD,119.2,109.66,KG,0.159,M3,PC-1200-TG,1,01,2022-11-05,,,US
SYN-RM-000071,ROH,RM010,Precision Stainless Steel 001,KG,LEG-RM-00001,00,1100,001,002,F,VB,100,HB,5,1,83,240,3000,V,0,70.61,1,USD,120.9,112.44,KG,0.161,M3,PC-1100-RM,0,,2023-12-12,X,,CA
SYN-RM-000072,ROH,RM011,Premium Polymer Resin 002,L,LEG-RM-00002,00,1200,002,002,F,VB,101,HB,6,2,96,260,3000,V,0,20.9,1,USD,122.6,100.53,KG,0.163,M3,PC-1200-RM,0,,2024-01-19,,,DE
SYN-RM-000073,ROH,RM012,Standard Copper Wire 003,M,LEG-RM-00003,00,1100,003,002,F,VB,102,HB,7,3,109,280,3000,V,0,65.92,1,USD,124.3,103.17,KG,0.166,M3,PC-1100-RM,0,,2025-02-26,,,MX
SYN-RM-000074,ROH,RM013,Eco Hydraulic Oil 004,KG,LEG-RM-00004,00,1200,001,002,F,VB,103,HB,8,1,5,183,3000,V,0,16.21,1,USD,126,105.84,KG,0.168,M3,PC-1200-RM,0,,2026-03-06,X,,JP
SYN-RM-000075,ROH,RM014,Heavy-Duty Aluminum Sheet 005,L,LEG-RM-00005,00,1100,002,002,F,VB,104,HB,9,2,15,200,3000,V,0,61.23,1,USD,127.7,108.55,KG,0.17,M3,PC-1100-RM,0,,2022-04-13,,,US
SYN-RM-000076,ROH,RM015,Compact Stainless Steel 006,M,LEG-RM-00006,00,1200,003,002,F,VB,105,HB,10,3,28,220,3000,V,0,11.52,1,USD,129.4,111.28,KG,0.173,M3,PC-1200-RM,0,,2023-05-20,,,CA
SYN-RM-000077,ROH,RM016,High-Grade Polymer Resin 007,KG,LEG-RM-00007,00,1100,001,002,F,VB,100,HB,11,1,41,240,3000,V,0,56.54,1,USD,131.1,114.06,KG,0.175,M3,PC-1100-RM,0,,2024-06-27,X,,DE
SYN-RM-000078,ROH,RM017,Modular Copper Wire 008,L,LEG-RM-00008,00,1200,002,002,F,VB,101,HB,12,2,54,80,3000,V,0,6.83,1,USD,132.8,116.86,KG,0.177,M3,PC-1200-RM,0,,2025-07-07,,,MX
SYN-RM-000079,ROH,RM010,Universal Hydraulic Oil 009,M,LEG-RM-00009,00,1100,003,002,F,VB,102,HB,13,3,67,100,3000,V,0,51.85,1,USD,134.5,119.7,KG,0.179,M3,PC-1100-RM,0,,2026-08-14,,,JP
SYN-RM-000080,ROH,RM011,Industrial Aluminum Sheet 010,KG,LEG-RM-00010,00,1200,001,002,F,VB,103,HB,14,1,80,120,3000,V,0,2.14,1,USD,136.2,122.58,KG,0.182,M3,PC-1200-RM,0,,2022-09-21,X,,US
SYN-RM-000081,ROH,RM012,Precision Stainless Steel 011,L,LEG-RM-00011,00,1100,002,002,F,VB,104,HB,15,2,93,140,3000,V,0,47.16,1,USD,137.9,125.49,KG,0.184,M3,PC-1100-RM,0,,2023-10-01,,,CA
SYN-RM-000082,ROH,RM013,Premium Polymer Resin 012,M,LEG-RM-00012,00,1200,003,002,F,VB,105,HB,16,3,106,160,3000,V,0,92.19,1,USD,139.6,128.43,KG,0.186,M3,PC-1200-RM,0,,2024-11-08,,,DE
SYN-RM-000083,ROH,RM014,Standard Copper Wire 013,KG,LEG-RM-00013,00,1100,001,002,F,VB,100,HB,17,1,119,180,3000,V,0,42.47,1,USD,141.3,131.41,KG,0.188,M3,PC-1100-RM,0,,2025-12-15,X,,MX
SYN-RM-000084,ROH,RM015,Eco Hydraulic Oil 014,L,LEG-RM-00014,00,1200,002,002,F,VB,101,HB,18,2,12,80,3000,V,0,87.5,1,USD,143,117.26,KG,0.191,M3,PC-1200-RM,0,,2026-01-22,,,JP
SYN-RM-000085,ROH,RM016,Heavy-Duty Aluminum Sheet 015,M,LEG-RM-00015,00,1100,003,002,F,VB,102,HB,19,3,25,100,3000,V,0,37.78,1,USD,144.7,120.1,KG,0.193,M3,PC-1100-RM,0,,2022-02-02,,,US
SYN-RM-000086,ROH,RM017,Compact Stainless Steel 016,KG,LEG-RM-00016,00,1200,001,002,F,VB,103,HB,20,1,38,120,3000,V,0,82.81,1,USD,146.4,122.98,KG,0.195,M3,PC-1200-RM,0,,2023-03-09,X,,CA
SYN-RM-000087,ROH,RM010,High-Grade Polymer Resin 017,L,LEG-RM-00017,00,1100,002,002,F,VB,104,HB,21,2,51,140,3000,V,0,33.09,1,USD,148.1,125.88,KG,0.197,M3,PC-1100-RM,0,,2024-04-16,,,DE
SYN-RM-000088,ROH,RM011,Modular Copper Wire 018,M,LEG-RM-00018,00,1200,003,002,F,VB,105,HB,22,3,64,160,3000,V,0,78.12,1,USD,149.8,128.83,KG,0.2,M3,PC-1200-RM,0,,2025-05-23,,,MX
SYN-RM-000089,ROH,RM012,Universal Hydraulic Oil 019,KG,LEG-RM-00019,00,1100,001,002,F,VB,100,HB,23,1,77,180,3000,V,0,28.4,1,USD,151.5,131.81,KG,0.202,M3,PC-1100-RM,0,,2026-06-03,X,,JP
SYN-RM-000090,ROH,RM013,Industrial Aluminum Sheet 020,L,LEG-RM-00020,00,1200,002,002,F,VB,101,HB,24,2,90,200,3000,V,0,73.43,1,USD,153.2,134.82,KG,0.204,M3,PC-1200-RM,0,,2022-07-10,,,US
SYN-RM-000091,ROH,RM014,Precision Stainless Steel 021,M,LEG-RM-00021,00,1100,003,002,F,VB,102,HB,25,3,103,220,3000,V,0,23.71,1,USD,154.9,137.86,KG,0.207,M3,PC-1100-RM,0,,2023-08-17,,,CA
SYN-RM-000092,ROH,RM015,Premium Polymer Resin 022,KG,LEG-RM-00022,00,1200,001,002,F,VB,103,HB,26,1,116,240,3000,V,0,68.74,1,USD,156.6,140.94,KG,0.209,M3,PC-1200-RM,0,,2024-09-24,X,,DE
SYN-RM-000093,ROH,RM016,Standard Copper Wire 023,L,LEG-RM-00023,00,1100,002,002,F,VB,104,HB,27,2,9,140,3000,V,0,19.02,1,USD,158.3,144.05,KG,0.211,M3,PC-1100-RM,0,,2025-10-04,,,MX
SYN-RM-000094,ROH,RM017,Eco Hydraulic Oil 024,M,LEG-RM-00024,00,1200,003,002,F,VB,105,HB,28,3,22,160,3000,V,0,64.05,1,USD,160,147.2,KG,0.213,M3,PC-1200-RM,0,,2026-11-11,,,JP
SYN-RM-000095,ROH,RM010,Heavy-Duty Aluminum Sheet 025,KG,LEG-RM-00025,00,1100,001,002,F,VB,100,HB,29,1,35,180,3000,V,0,14.33,1,USD,161.7,150.38,KG,0.216,M3,PC-1100-RM,0,,2022-12-18,X,,US
SYN-RM-000096,ROH,RM011,Compact Stainless Steel 026,L,LEG-RM-00026,00,1200,002,002,F,VB,101,HB,30,2,48,200,3000,V,0,59.36,1,USD,163.4,133.99,KG,0.218,M3,PC-1200-RM,0,,2023-01-25,,,CA
SYN-RM-000097,ROH,RM012,High-Grade Polymer Resin 027,M,LEG-RM-00027,00,1100,003,002,F,VB,102,HB,31,3,61,220,3000,V,0,9.64,1,USD,165.1,137.03,KG,0.22,M3,PC-1100-RM,0,,2024-02-05,,,DE
SYN-RM-000098,ROH,RM013,Modular Copper Wire 028,KG,LEG-RM-00028,00,1200,001,002,F,VB,103,HB,32,1,74,240,3000,V,0,54.67,1,USD,166.8,140.11,KG,0.222,M3,PC-1200-RM,0,,2025-03-12,X,,MX
SYN-RM-000099,ROH,RM014,Universal Hydraulic Oil 029,L,LEG-RM-00029,00,1100,002,002,F,VB,104,HB,33,2,87,260,3000,V,0,4.95,1,USD,168.5,143.22,KG,0.225,M3,PC-1100-RM,0,,2026-04-19,,,JP
SYN-RM-000100,ROH,RM015,Industrial Aluminum Sheet 030,M,LEG-RM-00030,00,1200,003,002,F,VB,105,HB,34,3,100,280,3000,V,0,49.98,1,USD,170.2,146.37,KG,0.227,M3,PC-1200-RM,0,,2022-05-26,,,US
SYN-RM-000101,ROH,RM016,Precision Stainless Steel 031,KG,LEG-RM-00031,00,1100,001,002,F,VB,100,HB,35,1,113,300,3000,V,0,95,1,USD,171.9,149.55,KG,0.229,M3,PC-1100-RM,0,,2023-06-06,X,,CA
SYN-RM-000102,ROH,RM017,Premium Polymer Resin 032,L,LEG-RM-00032,00,1200,002,002,F,VB,101,HB,5,2,6,200,3000,V,0,45.29,1,USD,173.6,152.77,KG,0.231,M3,PC-1200-RM,0,,2024-07-13,,,DE
SYN-RM-000103,ROH,RM010,Standard Copper Wire 033,M,LEG-RM-00033,00,1100,003,002,F,VB,102,HB,6,3,19,40,3000,V,0,90.31,1,USD,175.3,156.02,KG,0.234,M3,PC-1100-RM,0,,2025-08-20,,,MX
